,f,L,t
0,512.0,0.157,0.001953125
1,480.0,0.16899999999999998,0.0020833333333333333
2,456.1,0.17800000000000002,0.0021925016443762333
3,426.6,0.192,0.002344116268166901
4,406.4,0.20199999999999999,0.0024606299212598425
5,384.0,0.215,0.0026041666666666665
6,362.0,0.226,0.0027624309392265192
7,341.3,0.243,0.002929973630237328
8,320.0,0.26,0.003125
9,304.4,0.27,0.00328515111695138
10,288.0,0.28800000000000003,0.003472222222222222
11,271.2,0.308,0.003687315634218289
12,256.0,0.32299999999999995,0.00390625
